ID,Program,Load 19-20,Target 19-20,Balance 19-20,Load 20-21,Target 20-21,Balance 20-21,Load 21-22,Target 21-22,Balance 21-22,Load 22-23,Target 22-23,Balance 22-23
1,EM,6.0,5.0,1.0,4.0,5.0,-1.0,8.0,5.0,3.0,8.0,6.0,2.0
2,SSW,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1.5,-0.5,2.0,2.0,0.0
3,EM,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
4,EM,2.0,3.0,-1.0,3.0,3.0,0.0,2.0,3.0,-1.0,3.0,3.0,0.0
5,EM,2.0,3.0,-1.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,3.0,1.0
6,SSW,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,5.0,4.0,1.0
7,SYS,2.0,3.0,-1.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
8,SSW,1.0,3.0,-2.0,2.0,3.0,-1.0,4.0,3.0,1.0,3.0,4.0,-1.0
9,SYS,N/A,N/A,N/A,N/A,N/A,N/A,2.0,1.5,0.5,4.0,2.0,2.0
10,EM,3.0,3.0,0.0,1.0,3.0,-2.0,3.0,3.0,0.0,2.0,3.0,-1.0
11,SYS,2.0,3.0,-1.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,-1.0
12,SYS,6.0,6.0,0.0,7.0,3.0,4.0,4.0,6.0,-2.0,0.0,6.0,-6.0
13,EM,0.0,3.0,-3.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,-1.0
14,EM,6.0,2.0,4.0,3.0,3.0,0.0,9.0,4.0,5.0,5.0,3.0,2.0
15,SYS,5.0,2.0,3.0,3.0,3.0,0.0,6.0,4.0,2.0,5.0,4.0,0.0
16,EM,6.0,N/A,N/A,1.0,N/A,N/A,9.0,N/A,N/A,8.0,8.0,0.0
17,SYS,2.0,3.0,-1.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,3.0,-1.0
18,EM,0.0,3.0,-3.0,1.0,3.0,-2.0,1.0,3.0,-2.0,2.0,3.0,-1.0
19,SSW,0.0,2.0,-2.0,1.0,1.0,0.0,5.0,3.0,2.0,3.0,3.0,0.0
20,EM,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0
21,SYS,9.0,10.0,-1.0,6.0,10.0,-4.0,6.0,10.0,-5.0,3.0,7.0,-4.0
22,SYS,2.0,2.0,0.0,3.0,3.0,0.0,5.0,2.0,1.0,4.0,3.0,1.0
23,SSW,N/A,N/A,N/A,N/A,N/A,N/A,1.0,1.5,-0.5,2.0,2.0,0.0
24,SSW,2.0,3.0,-1.0,3.0,3.0,0.0,1.0,3.0,-2.0,4.0,2.0,2.0
25,EM,N/A,N/A,N/A,N/A,N/A,N/A,0.0,6.0,N/A,5.0,6.0,-1.0
26,SSW,N/A,N/A,N/A,N/A,N/A,N/A,7.0,6.0,0.0,5.0,4.0,1.0
27,EM,9.0,7.0,2.0,8.0,4.0,4.0,5.0,7.0,-3.0,8.0,6.0,2.0
